course_id,course_title,price,free_or_paid,num_subscribers,num_reviews,num_lectures,level,Rating,content_duration,published_timestamp_date
41295,Learn HTML5 Programming From Scratch,0,free,268923,8629,45,Beginner Level,0.82,10.5,2/14/2013
59014,Coding for Entrepreneurs Basic,0,free,161029,279,27,Expert Level,0.69,3.5,6/9/2013
625204,The Web Developer Bootcamp,200,paid,121584,27445,342,Beginner Level,0.89,43,11/2/2015
173548,Build Your First Website in 1 Week with HTML5 and CSS3,0,free,120291,5924,30,All Levels,0.78,3,4/8/2014
764164,The Complete Web Developer Course 2.0,200,paid,114512,22412,304,Beginner Level,0.55,30.5,3/8/2016
473160,Web Design for Web Developers: Build Beautiful Websites!,0,free,98867,6512,20,All Levels,0.82,3,4/13/2015
94430,Learn Javascript & JQuery From Scratch,30,paid,84897,2685,10,All Levels,0.79,2,10/10/2013
130064,Practical PHP: Master the Basics and Code Dynamic Websites,0,free,83737,4598,45,Intermediate Level,0.85,6.5,7/19/2014
364426,JavaScript: Understanding the Weird Parts,175,paid,79612,16976,85,All Levels,0.69,11.5,3/12/2015
756150,Angular 4 (formerly Angular 2) - The Complete Guide,190,paid,73783,19649,329,Beginner Level,0.9,22,2/11/2016
21386,Beginner Photoshop to HTML5 and CSS3,0,free,73110,1716,22,All Levels,0.94,2,7/27/2012
65330,Web Development By Doing: HTML / CSS From Scratch,0,free,72932,2575,21,All Levels,0.39,1,9/25/2013
405926,HTML and CSS for Beginners - Build a Website & Launch ONLINE,0,free,70773,5660,50,All Levels,0.57,6,3/19/2015
11174,Become a Web Developer from Scratch,120,paid,69186,2408,197,All Levels,0.61,27.5,11/19/2011
314462,Quickstart AngularJS,0,free,64128,4047,17,Beginner Level,0.96,1.5,11/22/2014
128946,Learn Responsive Web Development from Scratch,0,free,59639,2692,24,All Levels,0.55,4.5,12/9/2013
289230,Learn and Understand AngularJS,175,paid,59361,11580,55,Beginner Level,0.87,7,9/24/2014
461160,Learn and Understand NodeJS,195,paid,58208,11123,98,Beginner Level,0.73,13,8/31/2015
556248,The Complete HTML & CSS Course - From Novice To Professional,195,paid,57422,874,84,All Levels,0.82,7.5,7/27/2015
580466,Complete PHP Course With Bootstrap3 CMS System & Admin Panel,195,paid,55332,1225,144,Intermediate Level,0.28,20,9/22/2015
80940,Build Websites from Scratch with HTML & CSS,145,paid,51257,1955,77,All Levels,0.76,8,9/25/2013
705264,Modern React with Redux,180,paid,50815,15117,150,All Levels,0.62,26.5,12/28/2015
94432,Learn PHP Fundamentals From Scratch,0,free,48650,1236,9,All Levels,0,2,10/16/2013
19603,Learning Dynamic Website Design - PHP MySQL and JavaScript,50,paid,47886,285,125,All Levels,0.41,12.5,6/18/2012
707962,Javascript Essentials,0,free,47062,5590,41,All Levels,0.18,8.5,1/20/2016
437398,Build Responsive Real World Websites with HTML5 and CSS3,195,paid,43977,7106,77,All Levels,0.34,12,3/24/2015
28295,Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,75,paid,43285,525,24,Beginner Level,0.31,4,1/3/2013
708578,Bootstrap 4 Quick Start: Code Modern Responsive Websites,0,free,41478,2104,13,All Levels,0.52,3,12/30/2015
719002,Angular 2 with TypeScript for Beginners: The Pragmatic Guide,150,paid,40070,8341,194,All Levels,0.74,9.5,3/3/2016
674608,The Complete Web Developer Masterclass: Beginner To Advanced,195,paid,37141,1813,316,Beginner Level,0.07,51,5/18/2016
772618,Learn Object Oriented PHP By Building a Complete Website,0,free,36322,2618,32,All Levels,0.68,4.5,3/1/2016
16646,Web Programming with Python,50,paid,35267,217,53,Beginner Level,0.78,4,4/25/2012
446134,Ultimate Web Designer & Developer Course: Build 23 Projects!,200,paid,33788,4434,246,Beginner Level,0.31,32.5,8/20/2015
519442,The Complete Ruby on Rails Developer Course,195,paid,33677,3809,283,All Levels,0.77,31.5,10/23/2015
949282,Learn Angular 2 from Beginner to Advanced,195,paid,32696,526,67,Beginner Level,0.7,10,10/7/2016
294794,Create An HTML5 Video Player From Scratch,0,free,32260,1005,12,All Levels,0.94,1.5,9/5/2014
695656,The Complete JavaScript Course For Web Development Beginners,195,paid,31499,450,46,Beginner Level,0.76,4,12/29/2015
