course_id	course_title	price	free_or_paid	num_subscribers	num_reviews	num_lectures	level	Rating	content_duration	published_timestamp_date
49798	Bitcoin or How I Learned to Stop Worrying and Love Crypto	0	Free	65576	936	24	All Levels	0.56	8.0	4/20/2013
48841	Accounting in 60 Minutes - A Brief Introduction	0	Free	56659	4397	16	Beginner Level	0.95	1.5	4/7/2013
133536	Stock Market Investing for Beginners	0	Free	50855	2698	15	All Levels	0.91	1.5	12/25/2013
151668	Introduction to Financial Modeling	0	Free	29167	1463	8	All Levels	0.18	1.5	5/27/2014
648826	The Complete Financial Analyst Course 2017	195	Paid	24481	2347	174	All Levels	0.37	10.0	1/21/2016
97338	Forex Basics	0	Free	22344	712	26	All Levels	0.89	3.5	10/16/2013
321410	Beginner to Pro in Excel: Financial Modeling and Valuation	195	Paid	22257	2697	138	Intermediate Level	0.13	7.5	11/25/2014
301442	Black Algo Trading: Build Your Trading Robot	200	Paid	20195	1113	227	All Levels	0.21	16.0	10/27/2014
189160	Financial Analysis: A Recipe for Success	0	Free	19614	635	14	All Levels	0.3	1.5	4/23/2014
191854	Stock Market Foundations	0	Free	19339	794	9	All Levels	0.89	2.0	3/31/2014
754028	Financial Accounting - A Brief Introduction	0	Free	17847	1440	17	Intermediate Level	0.34	1.0	2/24/2016
265960	Fundamentals of Forex Trading	0	Free	17160	620	23	Beginner Level	0.69	1.0	8/29/2014
285638	Learn to Trade for Profit:Trading with Japanese Candlesticks	60	Paid	16385	273	45	Beginner Level	0.78	3.0	9/2/2014
401784	Options Trading Introduction: Day Trade Stock Options	95	Paid	12394	218	30	All Levels	0.25	2.5	2/20/2015
189996	Introduction to Digital Payments	0	Free	12217	351	17	All Levels	0.41	1.0	4/29/2014
302562	Introduction to Accounting: The Language of Business	20	Paid	11958	370	134	All Levels	0.81	11.5	10/2/2014
777444	Corporate Finance - A Brief Introduction	0	Free	11724	649	17	All Levels	0.81	1.5	3/4/2016
116128	CPA 101: How To Master Affiliate Marketing In No Time	100	Paid	11517	92	21	All Levels	0.81	1.5	11/9/2013
888716	Introduction to Finance, Accounting, Modeling and Valuation	200	Paid	11441	1118	61	All Levels	0.81	4.5	6/28/2016
774174	Bitcoin For Beginners: Your Quick Start Guide To Bitcoin	0	Free	10670	444	15	All Levels	0.81	1.0	3/3/2016
325834	Learn to Trade for Profit: Find and Trade Winning Stocks	95	Paid	10605	71	77	All Levels	0.81	3.0	10/24/2014
260470	Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!	200	Paid	10603	872	42	All Levels	0.81	5.5	10/12/2014
205810	Beginners Binary Options Course	0	Free	10540	799	14	All Levels	0.81	1.5	4/27/2014
109622	Finance - Ratios Analysis & Interpretations	30	Paid	10338	52	41	Beginner Level	0.81	2.5	10/23/2013
