course_id	course_title	price	free_or_paid	num_subscribers	num_reviews	num_lectures	level	Rating	content_duration	published_timestamp_date
348116	Photoshop In-Depth: Master all of Photoshop's Tools Easily	0	free	53851	1779	45	All Levels	0.69	4.5	11/30/2014
17349	Figure Drawing From Life Using The Reilly Technique.	0	free	47811	1041	22	Beginner Level	0.11	2.5	5/9/2012
399938	Professional Logo Design in Adobe Illustrator	0	free	44044	1563	45	Beginner Level	0.89	7.5	1/22/2015
820194	Photoshop for Entrepreneurs - Design 11 Practical Projects	200	paid	36288	737	63	All Levels	0.96	5	6/9/2016
249126	Logo Design Essentials	20	paid	33205	481	12	Beginner Level	0.88	0.7	6/30/2014
874012	The Ultimate Drawing Course - Beginner to Advanced	150	paid	26742	2379	62	Beginner Level	0.24	11	1/23/2017
385462	Logo Designing for Your Business in an Hour	20	paid	25277	311	16	Beginner Level	0.38	1	1/5/2015
178044	How To Make Graphics For A Website	200	paid	24857	35	11	All Levels	0.89	1.5	3/15/2014
22445	Learn to Design a Letterhead - A Beginners Course	0	free	24687	423	13	All Levels	0.11	0.733333333	10/10/2012
660876	Graphic Design - An Overview of the Field	0	free	23229	2215	12	All Levels	0.53	1	11/9/2015
897238	Canva Graphics Design for Entrepreneurs - Design 11 Projects	200	paid	18303	202	54	All Levels	0.81	3.5	7/23/2016
62721	Anatomy for Figure Drawing: Mastering the Human Figure	95	paid	15500	754	65	Beginner Level	0.41	68.5	10/16/2013
749542	Graphic Design Bootcamp	200	paid	15276	1740	65	All Levels	0.65	8	5/13/2016
573064	Photoshop in Ease: Create World Amazing  Graphic Designs	20	paid	14440	182	26	Beginner Level	0.2	3	8/13/2015
1120554	Canva Graphics Design Essential Training For Everyone	200	paid	12340	124	46	Beginner Level	0.88	2.5	3/7/2017
611370	Quote Images for Pinterest, Facebook, & Instagram	0	free	12103	576	18	All Levels	0.75	1	9/24/2015
47004	Photoshop Course: Design an eBook Cover in Photoshop	50	paid	11893	69	40	All Levels	0.27	3	4/25/2013
20461	How to Design a Logo - a Beginners Course	30	paid	10875	650	41	All Levels	0.8	2.5	7/25/2012
364986	Apple Watch Design	20	paid	9847	24	35	All Levels	0.94	4	12/29/2014
693812	Master App Icon Design for iPhone (IOS) & Android Devices	25	paid	9464	329	43	All Levels	0.18	2	12/21/2015
1145736	Create Professional Looking Infographics With No Experience	180	paid	9367	104	21	All Levels	0.11	2	3/21/2017
28556	Discover How to Draw and paint Comics	65	paid	8901	424	85	Beginner Level	0.61	62	11/21/2012
627782	Learn Illustrator By Recreating Top 3 Logos - Beginner Guide	0	free	8786	245	11	All Levels	0.88	1	10/4/2015
416548	Logo Design Masterclass: Learn Logo Design + Illustrator	200	paid	8196	479	85	All Levels	0.48	6.5	8/18/2015
371074	Sketch 3 from A to Z: Become an App Designer	75	paid	7282	1629	42	All Levels	0.32	3.5	1/3/2015
520468	Canva : Graphic Design Theory Volume1	200	paid	6975	122	29	All Levels	0.32	2.5	6/5/2015
1094930	DIY Design Professional Web Banners in Photoshop 4 Beginners	200	paid	6944	30	24	All Levels	0.89	1	2/1/2017
396204	Graphic Design Masterclass: Learn Graphic Design in Projects	95	paid	6858	382	41	All Levels	0.15	3.5	11/9/2015
755680	Draw a realistic Fantail using pencil	0	free	6754	109	20	All Levels	0.38	1	2/11/2016
371490	Graphic Design: Create Animated GIF Ad Banners in Photoshop	20	paid	6612	44	20	All Levels	0.84	1	12/19/2014
611804	Primeros Pasos con Photoshop CC	0	free	6429	654	31	All Levels	0.71	2.5	9/23/2015
1228900	Learn Professional Book-Cover Designing Photoshop 4 Beginner	200	paid	6428	21	54	All Levels	0.54	3	6/13/2017
590622	Logo Design - Guide to Logo Design in Photoshop	25	paid	6215	86	17	All Levels	0.45	2	2/5/2016
400130	The Business Graphic Design with Photoshop & Illustrator	200	paid	6039	128	111	All Levels	0.34	17	2/25/2015
561188	Photoshop CC for Beginners - A Comprehensive Crash Course	200	paid	6028	205	20	All Levels	0.88	2.5	7/29/2015
269082	Photoshop: Real World Hands-on Freelance Mastery	105	paid	5950	25	29	All Levels	0.6	2.5	9/25/2014
507726	Typography: Learn the Basics to Build a Solid Foundation	35	paid	5850	19	34	All Levels	0.15	1	5/26/2015
516394	Book Covers and Graphic Design with PowerPoint 2013/2016/365	195	paid	5840	57	30	Intermediate Level	0.9	4	6/3/2015
1149656	Mastering advance Photoshop	20	paid	5787	40	21	All Levels	0.89	2	4/27/2017
337072	Bestseller! Learn Photoshop in 1 Hour (No Experience Needed)	200	paid	5471	72	39	All Levels	0.31	6.5	3/5/2015
1046722	Ultimate Photoshop Training: From Beginner to Pro	200	paid	5326	447	150	All Levels	0.61	11.5	1/12/2017
839536	Start Making Comics with Manga Studio 5 / Clip Studio Paint	0	free	5301	125	77	Intermediate Level	0.88	6.5	6/21/2016
874656	Create Stunning Infographics to Share your Ideas	0	free	5175	470	7	All Levels	0.24	0.5	8/14/2016
600486	Teoria Basica del Arte. Como Pintar Ilustraciones Digitales	20	paid	5104	437	26	All Levels	0.14	1	9/8/2015
