course_id	course_title	price	free_or_paid	num_subscribers	num_reviews	num_lectures	level	rating	content_duration	published_timestamp_date	subject	revenue
1000010	Professional Ruby on Rails Developer with Rails 5	200	paid	3179	214	174	All Levels	0.92	20.5	2/19/2017	web_development	635800
1000136	"Basics of Fixed Income Valuation, CFA Level I 2017 Prep"	20	Paid	4	0	14	All Levels	0.97	3.5	1/28/2017	business	80
1000574	The Complete Developers Guide to MongoDB	150	paid	10945	1286	129	All Levels	0.16	13.5	11/15/2016	web_development	1641750
1000966	Play Piano 5: Improvise on Misty Eb Key Runs & 2-5 Chords	50	paid	833	6	70	Beginner Level	0.07	1.5	11/3/2016	music	41650
1000988	Play Piano 6 -Improvise on The Way We Were with Power Chords	50	paid	701	4	62	Beginner Level	0.07	1.5	11/3/2016	music	35050
1001010	Forex Trading: Strategia Correlazione EUR/GBP vs GBP/USD	50	Paid	137	39	27	Beginner Level	0.41	1.5	11/10/2016	business	6850
1002210	Popular JavaScript Framework:Learn The Language Of Angular 2	200	paid	260	22	64	All Levels	0.98	11	11/11/2016	web_development	52000
1002272	Blues Bass - Quick Start Guide	50	paid	59	8	29	Beginner Level	0.07	1.5	11/24/2016	music	2950
1002282	Bitcoin - Ethereum: Trading -Watch me manage my own account!	165	Paid	431	58	22	Beginner Level	0.15	2.5	11/12/2016	business	71115
1002676	The Full Stack Web Development	60	paid	3119	453	207	All Levels	0.8	33	11/24/2016	web_development	187140
1003250	World Percussion: Complete Lessons for Everyone	40	paid	68	9	56	Intermediate Level	0.11	4	11/14/2016	music	2720
1003568	Master Class # 11:  Play Piano Techniques Learn Piano 1 to10	95	paid	2164	10	113	Beginner Level	0.73	2	11/7/2016	music	205580
1004008	Introduction to web programming for GIS applications	100	paid	205	38	97	Beginner Level	0.7	13.5	3/13/2017	web_development	20500
1004134	Angular 2 + Rails 5 Bootcamp	150	paid	1967	372	60	All Levels	0.42	9	11/15/2016	web_development	295050
1004512	Clipping Masks & Shaped images in Adobe Photoshop CC	90	paid	1905	12	14	All Levels	0.35	0.73	12/9/2016	graphics_design	171450
1004788	Getting Started with Craft CMS	20	paid	997	31	20	Beginner Level	0.89	2	11/7/2016	web_development	19940
100526	Winning Options Trading System	105	Paid	367	11	24	All Levels	0.15	7.5	10/9/2013	business	38535
1005610	Up and Running with Phalcon	20	paid	715	12	12	Intermediate Level	0.96	1.5	11/10/2016	web_development	14300
1005658	Trading for Beginners - Intermediate Level	150	Paid	3979	40	39	All Levels	0.03	5	11/9/2016	business	596850
1006314	Financial Modeling for Business Analysts and Consultants	45	Paid	2174	74	51	Beginner Level	0.14	2.5	12/19/2016	business	97830
1006894	"React.js: Building Production Ready Apps, Start to Finish"	50	paid	1129	137	77	All Levels	0.96	17.5	11/10/2016	web_development	56450
1007396	"Play The Piano By Ear | Master Class, Learn By Doing"	175	paid	362	38	27	All Levels	0.18	2.5	11/12/2016	music	63350
1007622	Infodesign	50	paid	2	1	12	Beginner Level	0.95	1.5	3/24/2017	graphics_design	100
1007766	How to create Paypal and Credit card Payment Buttons	65	paid	578	6	8	Beginner Level	0.37	1	11/17/2016	web_development	37570
1008054	Play Piano 7: Improvise on For All We Know in F Key by Ear	50	paid	438	3	77	All Levels	0.07	1.5	11/10/2016	music	21900
1008098	Learn to play guitar and sing at the same time	45	paid	66	9	8	All Levels	0.11	1	11/25/2016	music	2970
1008100	How To Create A Low Poly Portrait With The Pen Tool	195	paid	293	5	18	All Levels	0.07	1	11/15/2016	graphics_design	57135
1008246	Modern E-Commerce Store In php & mysqli With Bootstrap	50	paid	240	45	358	All Levels	0.7	66.5	12/9/2016	web_development	12000
1008654	Learn Photo Manipulation - Build 3 projects	40	paid	10	1	18	Beginner Level	0.94	2.5	11/27/2016	graphics_design	400
1009068	ABC do Photoshop CC	45	paid	431	99	80	All Levels	0.65	7.5	11/21/2016	graphics_design	19395
100916	Blues Guitar Lessons - Blues Guitar - Robert Johnson	20	paid	297	7	7	Beginner Level	0.02	2.5	10/7/2013	music	5940
1009166	Lerning PHP by building website	185	paid	567	63	34	All Levels	0.15	8	11/17/2016	web_development	104895
1009236	Web Development With Google Maps	50	paid	222	9	60	All Levels	0.78	8.5	1/3/2017	web_development	11100
1009254	"Beginner API development in Node, Express, ES6, & MongoDB"	165	paid	7057	655	65	Beginner Level	0.74	18.5	11/12/2016	web_development	1164405
1009452	Build Enterprise Applications with Angular 2 (and Angular 4)	190	paid	6082	848	135	Beginner Level	0.3	9.5	11/22/2016	web_development	1155580
1009802	Play Piano 8 - Play Over the Rainbow by Ear & Free Improvise	50	paid	1249	6	69	All Levels	0.34	1.5	11/14/2016	music	62450
1010274	Drumming Accelerator: How To Get The Best Start Possible	200	paid	1594	4	34	Beginner Level	0.11	1.5	4/18/2017	music	318800
101038	Bitesize Bookkeeping for busy people	20	Paid	9	0	13	Beginner Level	0.88	1.5	3/29/2015	business	180
1010988	Economics for beginners - Various Concepts	25	Paid	2	0	34	Beginner Level	0.97	2.5	1/2/2017	business	50
1011058	How To Maximize Your Profits Trading Options	200	Paid	1276	45	26	All Levels	0.98	2	12/13/2016	business	255200
1011550	Build Sign Up and Login Forms With Bootstrap Modal	20	paid	1898	19	31	Intermediate Level	0.19	4	11/17/2016	web_development	37960
1012040	Bootstrap Bootcamp - Responsive web development- 8 projects	100	paid	253	34	45	Beginner Level	0.3	7	12/12/2016	web_development	25300
1012096	Become A Full Stack Web Developer in 14 Days	195	paid	467	20	126	All Levels	0.73	13.5	11/23/2016	web_development	91065
1012262	Icon & Logo Symbol Design in Adobe Illustrator	100	paid	1043	27	30	Beginner Level	0.47	2	11/23/2016	graphics_design	104300
101234	The Smart Option Trader	45	Paid	412	19	74	All Levels	0.7	13	10/10/2013	business	18540
1013190	Analysis and Evaluation of Economic Feasibility of Projects	100	Paid	10	1	8	All Levels	0.88	1	12/19/2016	business	1000
1013314	PHP For Beginners : Learn PHP From Scratch!	100	paid	1825	17	58	All Levels	0.99	3.5	11/18/2016	web_development	182500
1013380	Learn To Build A Google Map App Using Angular 2	30	paid	116	12	7	Beginner Level	0.89	1	11/21/2016	web_development	3480
1013558	Pure Pentatonic Power: Rock and Blues Guitar Soloing	50	paid	128	10	18	Intermediate Level	0.48	2	11/27/2016	music	6400
1013676	Adobe Illustrator CC 2017 for beginners	195	paid	2489	39	12	All Levels	0.74	1.5	1/31/2017	graphics_design	485355
1013762	Instant Harmonica - play Leonard Cohen's Hallelujah now!	40	paid	100	15	14	All Levels	0.45	1.5	11/20/2016	music	4000
1013838	Price Action Gap Trading Strategies	20	Paid	13	2	5	Beginner Level	0.11	1	12/31/2016	business	260
